"landmark_id","landmark_name","latitude","longitude","type","geom"
1,"A Block",17.5455061,78.5728646,"Academic","0101000020E6100000508248D0A9A45340BD44AB49A68B3140"
2,"B Block",17.5453084,78.5722939,"Academic","0101000020E6100000D20C9876A0A45340ED3BD054998B3140"
3,"C Block",17.544661,78.572028,"Academic/Admin","0101000020E61000005D19541B9CA453401B683EE76E8B3140"
4,"Central Workshop",17.5435401,78.5704452,"Academic/Workshop","0101000020E6100000408A952C82A453408890A971258B3140"
5,"D + F Block",17.544303,78.572215,"Academic","0101000020E6100000F6D1A92B9FA453405C1D0071578B3140"
6,"E Block",17.5435816,78.5718919,"Academic","0101000020E61000003AD67BE099A4534015B5EA29288B3140"
7,"H Block / Mathematics",17.5463631,78.5703851,"Academic","0101000020E61000000BA8813081A45340BE3DBE73DE8B3140"
8,"I Block",17.5464456,78.569836,"Academic","0101000020E610000057056A3178A45340080BDDDBE38B3140"
9,"J Block",17.5454585,78.5692266,"Academic","0101000020E6100000D9C067356EA4534041D3122BA38B3140"
10,"K Block",17.545266,78.5697002,"Academic","0101000020E610000094E1D3F775A45340E99E758D968B3140"
11,"Budh Bhavan",17.5418681,78.5746888,"Hostel","0101000020E6100000295888B3C7A45340E33E28DEB78A3140"
12,"Gandhi Bhavan",17.5426206,78.574738,"Hostel","0101000020E61000002E71E481C8A45340CA22032FE98A3140"
13,"Ganga Bhavan",17.541866,78.573513,"Hostel","0101000020E61000002DB5DE6FB4A4534078D0ECBAB78A3140"
14,"Krishna Bhavan",17.542729,78.573922,"Hostel","0101000020E61000001D1D5723BBA453403E97A949F08A3140"
15,"Malviya Bhavan",17.541021,78.574913,"Hostel","0101000020E6100000E542E55FCBA4534000732D5A808A3140"
16,"Meera Bhavan",17.5413756,78.5741175,"Hostel","0101000020E6100000ECA35357BEA4534035DA6097978A3140"
17,"Ram Bhavan",17.5426424,78.5729749,"Hostel","0101000020E6100000733BEA9EABA45340466CC19CEA8A3140"
18,"Shankar Bhavan",17.544683,78.574991,"Hostel","0101000020E6100000A31F0DA7CCA45340EAAF5758708B3140"
19,"Valmiki Bhavan",17.546112,78.574774,"Hostel","0101000020E6100000D525E318C9A4534002F4FBFECD8B3140"
20,"Vishwakarma Bhavan",17.5449241,78.5763678,"Hostel","0101000020E6100000EBDDC435E3A453405F4D5425808B3140"
21,"Connaught Place / Shopping Area",17.5422,78.576,"Commercial","0101000020E6100000BE9F1A2FDDA4534026E4839ECD8A3140"
22,"Mess 1",17.542629,78.574096,"Food","0101000020E6100000EC3026FDBDA4534077DCF0BBE98A3140"
23,"Mess 2",17.544636,78.575161,"Food","0101000020E6100000D13B1570CFA453406939D0436D8B3140"
24,"Auditorium",17.5454217,78.5705673,"Academic/Event","0101000020E6100000B06AB52C84A453405A07ACC1A08B3140"
25,"Medical Centre",17.5420592,78.5764543,"Medical","0101000020E6100000DE8893A0E4A45340F57E4864C48A3140"
26,"Placement Unit",17.5457191,78.5712169,"Administrative","0101000020E61000000A1B54D18EA45340744D373FB48B3140"
27,"TBI",17.5460841,78.5715258,"Research","0101000020E61000007FF4F2E093A45340985DE62ACC8B3140"
28,"Cricket Ground",17.5397678,78.5774639,"Sports","0101000020E6100000B847252BF5A45340126FF8382E8A3140"
29,"New Football Ground",17.5409279,78.5762985,"Sports","0101000020E6100000F78E1A13E2A4534074FE37407A8A3140"
30,"Swimming Pool",17.5402681,78.5767605,"Sports","0101000020E6100000FA47DFA4E9A4534072929C024F8A3140"
31,"Tennis Court",17.541606,78.5756417,"Sports","0101000020E6100000B0ED4850D7A453404051D9B0A68A3140"
32,"Volleyball Court",17.5430219,78.5753453,"Sports/Activity","0101000020E610000011DA1775D2A453400483B57B038B3140"
33,"SAC",17.5408049,78.5752803,"Sports/Activity","0101000020E61000001EA27664D1A453403D049F30728A3140"
34,"Amphitheatre",17.5444589,78.5708925,"Event","0101000020E61000000742B28089A45340218491A8618B3140"
35,"Main Gate",17.547305,78.572525,"Entrance","0101000020E61000001DC9E53FA4A45340F2EF332E1C8C3140"
